"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_QUYU"
93.5,,104.0,62.5,5.0,2017.0,
1.0,,61.0,112.0,0.0,2018.0,
89.66666666666666,,91.0,200.0,36.33333333333333,2018.0,"光明区"
25.0,,48.0,272.0,2.0,2018.0,"南山区"
2.2,,43.6,221.2,1.6,2018.0,"大鹏新区"
14.0,,79.0,602.0,10.0,2017.0,"福田区"
1.0,,28.0,50.0,0.0,2018.0,"罗湖区"
9.0,5.0,85.0,19.0,0.0,2019.0,"龙华区"
2.2307692307692313,109.0,27.30769230769231,67.3076923076923,-24.615384615384617,2018.0,"龙岗区"
7.0,1.0,8.0,19.0,0.0,2019.0,"龙岗区"
