"YEAR","PUNISH_QUYU","SUM(*)"
2016.0,,1.320945107E7
2016.0,"光明区",1480048.7000000002
2016.0,"南山区",1418397.6200000003
2016.0,"坪山区",456977.39999999997
2016.0,"大鹏新区",289863.0
2016.0,"宝安区",3794586.6500000004
2016.0,"盐田区",214517.0
2016.0,"福田区",5749077.62
2016.0,"罗湖区",2280506.07
2016.0,"龙华区",2159661.57
2016.0,"龙岗区",1.0002481190000001E7
2017.0,,7.559067642E7
2017.0,"光明区",5696078.09
2017.0,"南山区",1.4705821440000003E7
2017.0,"坪山区",3336443.8
2017.0,"大鹏新区",1237238.1
2017.0,"宝安区",2.211845816E7
2017.0,"盐田区",1280351.95
2017.0,"福田区",1.1325487209999997E7
2017.0,"罗湖区",7277124.749999999
2017.0,"龙华区",9916851.32
2017.0,"龙岗区",2.991057663999999E7
2018.0,,1.2226542183E8
2018.0,"光明区",4.741688747999999E7
2018.0,"南山区",3.2404426782000005E8
2018.0,"坪山区",9843954.58
2018.0,"大鹏新区",3981066.6299999994
2018.0,"宝安区",3.2600136319999997E7
2018.0,"盐田区",1349662.94
2018.0,"福田区",1.3934702559999999E7
2018.0,"罗湖区",1.136832863E7
2018.0,"龙华区",1.6813558519999996E7
2018.0,"龙岗区",3.756423185000001E7
2019.0,,2.5924608109999996E7
2019.0,"光明区",4697119.01
2019.0,"南山区",7938323.250000001
2019.0,"坪山区",5931790.549999999
2019.0,"大鹏新区",565725.4
2019.0,"宝安区",1.4533340320000002E7
2019.0,"盐田区",634246.0
2019.0,"福田区",6798201.37
2019.0,"罗湖区",1.571701276E7
2019.0,"龙华区",6943625.789999999
2019.0,"龙岗区",9581167.610000001
