"YEAR","PUNISH_QUYU","SUM(*)"
2016.0,,637
2016.0,"光明区",274
2016.0,"南山区",421
2016.0,"坪山区",196
2016.0,"大鹏新区",55
2016.0,"宝安区",1292
2016.0,"盐田区",34
2016.0,"福田区",1012
2016.0,"罗湖区",426
2016.0,"龙华区",687
2016.0,"龙岗区",990
2017.0,,2244
2017.0,"光明区",943
2017.0,"南山区",2379
2017.0,"坪山区",655
2017.0,"大鹏新区",260
2017.0,"宝安区",6437
2017.0,"盐田区",195
2017.0,"福田区",1666
2017.0,"罗湖区",2523
2017.0,"龙华区",2549
2017.0,"龙岗区",4031
2018.0,,3805
2018.0,"光明区",1836
2018.0,"南山区",3490
2018.0,"坪山区",1262
2018.0,"大鹏新区",339
2018.0,"宝安区",7640
2018.0,"盐田区",360
2018.0,"福田区",2628
2018.0,"罗湖区",2536
2018.0,"龙华区",2982
2018.0,"龙岗区",5000
2019.0,,1943
2019.0,"光明区",933
2019.0,"南山区",1621
2019.0,"坪山区",1274
2019.0,"大鹏新区",161
2019.0,"宝安区",8999
2019.0,"盐田区",170
2019.0,"福田区",3757
2019.0,"罗湖区",1752
2019.0,"龙华区",2299
2019.0,"龙岗区",5075
