"YEAR","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO","SLEEP"
2016.0,"光明区",1,"行政处罚",2668.0,3.748125937031484E-4,2667.0
2016.0,"南山区",1,"行政处罚",2920.0,3.4246575342465754E-4,2919.0
2016.0,"坪山区",1,"行政处罚",2219.0,4.506534474988734E-4,2218.0
2016.0,"大鹏新区",1,"行政处罚",2588.0,3.863987635239567E-4,2587.0
2016.0,"宝安区",1,"行政处罚",2874.0,3.479471120389701E-4,2873.0
2016.0,"盐田区",1,"行政处罚",3163.0,3.161555485298767E-4,3162.0
2016.0,"福田区",1,"行政处罚",2429.0,4.116920543433512E-4,2428.0
2016.0,"罗湖区",1,"行政处罚",3553.0,2.8145229383619476E-4,3552.0
2016.0,"龙华区",1,"行政处罚",2615.0,3.824091778202677E-4,2614.0
2016.0,"龙岗区",1,"行政处罚",2750.0,3.636363636363636E-4,2749.0
2017.0,"光明区",4,"行政处罚",2921.0,0.0013693940431359123,2917.0
2017.0,"南山区",9,"行政处罚",3274.0,0.002748930971288943,3265.0
2017.0,"坪山区",5,"行政处罚",2423.0,0.0020635575732562937,2418.0
2017.0,"大鹏新区",3,"行政处罚",2862.0,0.0010482180293501049,2859.0
2017.0,"宝安区",13,"行政处罚",3118.0,0.004169339320076972,3105.0
2017.0,"盐田区",1,"行政处罚",3515.0,2.844950213371266E-4,3514.0
2017.0,"福田区",12,"行政处罚",2726.0,0.004402054292002935,2714.0
2017.0,"罗湖区",11,"行政处罚",3838.0,0.0028660760812923396,3827.0
2017.0,"龙华区",12,"行政处罚",2884.0,0.004160887656033287,2872.0
2017.0,"龙岗区",10,"行政处罚",3193.0,0.0031318509238960224,3183.0
2018.0,"光明区",30,"行政处罚",3327.0,0.009017132551848512,3297.0
2018.0,"南山区",382,"行政处罚",3632.0,0.10517621145374449,3250.0
2018.0,"坪山区",35,"行政处罚",2739.0,0.012778386272362175,2704.0
2018.0,"大鹏新区",29,"行政处罚",3120.0,0.009294871794871795,3091.0
2018.0,"宝安区",62,"行政处罚",3539.0,0.0175190731845154,3477.0
2018.0,"盐田区",19,"行政处罚",3907.0,0.004863066291272076,3888.0
2018.0,"福田区",58,"行政处罚",3180.0,0.018238993710691823,3122.0
2018.0,"罗湖区",63,"行政处罚",4166.0,0.015122419587133942,4103.0
2018.0,"龙华区",62,"行政处罚",3386.0,0.01831069108092144,3324.0
2018.0,"龙岗区",125,"行政处罚",3536.0,0.035350678733031674,3411.0
2019.0,"光明区",20,"行政处罚",4633.0,0.004316857327865314,4613.0
2019.0,"南山区",28,"行政处罚",4606.0,0.0060790273556231,4578.0
2019.0,"坪山区",30,"行政处罚",4528.0,0.0066254416961130744,4498.0
2019.0,"大鹏新区",6,"行政处罚",3833.0,0.0015653535090007827,3827.0
2019.0,"宝安区",30,"行政处罚",4957.0,0.006052047609441194,4927.0
2019.0,"盐田区",14,"行政处罚",4706.0,0.0029749256268593286,4692.0
2019.0,"福田区",25,"行政处罚",4187.0,0.0059708621925005975,4162.0
2019.0,"罗湖区",40,"行政处罚",4901.0,0.008161599673536014,4861.0
2019.0,"龙华区",19,"行政处罚",4883.0,0.0038910505836575876,4864.0
2019.0,"龙岗区",17,"行政处罚",4425.0,0.0038418079096045198,4408.0
