"YEAR","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO","SLEEP"
2016.0,"光明区",1,"行政处罚",2276.0,4.393673110720562E-4,2275.0
2016.0,"南山区",1,"行政处罚",2527.0,3.957261574990107E-4,2526.0
2016.0,"坪山区",1,"行政处罚",1829.0,5.467468562055768E-4,1828.0
2016.0,"大鹏新区",1,"行政处罚",2198.0,4.5495905368516835E-4,2197.0
2016.0,"宝安区",1,"行政处罚",2341.0,4.2716787697565144E-4,2340.0
2016.0,"盐田区",1,"行政处罚",2723.0,3.672420124862284E-4,2722.0
2016.0,"福田区",1,"行政处罚",1885.0,5.305039787798408E-4,1884.0
2016.0,"罗湖区",1,"行政处罚",3153.0,3.171582619727244E-4,3152.0
2016.0,"龙华区",1,"行政处罚",2226.0,4.492362982929021E-4,2225.0
2016.0,"龙岗区",1,"行政处罚",2363.0,4.2319085907744394E-4,2362.0
2017.0,"光明区",4,"行政处罚",2502.0,0.0015987210231814548,2498.0
2017.0,"南山区",9,"行政处罚",2854.0,0.003153468815697267,2845.0
2017.0,"坪山区",5,"行政处罚",2005.0,0.0024937655860349127,2000.0
2017.0,"大鹏新区",3,"行政处罚",2444.0,0.0012274959083469722,2441.0
2017.0,"宝安区",13,"行政处罚",2547.0,0.005104043973301924,2534.0
2017.0,"盐田区",1,"行政处罚",3044.0,3.28515111695138E-4,3043.0
2017.0,"福田区",12,"行政处罚",2054.0,0.005842259006815969,2042.0
2017.0,"罗湖区",11,"行政处罚",3406.0,0.0032295948326482677,3395.0
2017.0,"龙华区",12,"行政处罚",2468.0,0.004862236628849271,2456.0
2017.0,"龙岗区",10,"行政处罚",2779.0,0.0035984166966534724,2769.0
2018.0,"光明区",30,"行政处罚",2906.0,0.01032346868547832,2876.0
2018.0,"南山区",382,"行政处罚",3210.0,0.11900311526479751,2828.0
2018.0,"坪山区",35,"行政处罚",2319.0,0.015092712376024149,2284.0
2018.0,"大鹏新区",29,"行政处罚",2699.0,0.010744720266765468,2670.0
2018.0,"宝安区",62,"行政处罚",2966.0,0.020903573836817263,2904.0
2018.0,"盐田区",19,"行政处罚",3427.0,0.005544207761890867,3408.0
2018.0,"福田区",58,"行政处罚",2464.0,0.02353896103896104,2406.0
2018.0,"罗湖区",63,"行政处罚",3727.0,0.016903675878722834,3664.0
2018.0,"龙华区",62,"行政处罚",2968.0,0.020889487870619946,2906.0
2018.0,"龙岗区",125,"行政处罚",3119.0,0.04007694773966015,2994.0
2019.0,"光明区",20,"行政处罚",4210.0,0.004750593824228029,4190.0
2019.0,"南山区",28,"行政处罚",4182.0,0.006695361071257772,4154.0
2019.0,"坪山区",30,"行政处罚",4104.0,0.007309941520467836,4074.0
2019.0,"大鹏新区",6,"行政处罚",3410.0,0.0017595307917888563,3404.0
2019.0,"宝安区",30,"行政处罚",4239.0,0.007077140835102618,4209.0
2019.0,"盐田区",14,"行政处罚",4224.0,0.0033143939393939395,4210.0
2019.0,"福田区",25,"行政处罚",3290.0,0.007598784194528876,3265.0
2019.0,"罗湖区",40,"行政处罚",4460.0,0.008968609865470852,4420.0
2019.0,"龙华区",19,"行政处罚",4463.0,0.00425722608111136,4444.0
2019.0,"龙岗区",17,"行政处罚",4006.0,0.004243634548177734,3989.0
