"YEAR","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO_BALANCE"
2016.0,"光明区",1.0,"行政处罚",2668.0,3.748125937031484E-4
2016.0,"南山区",1.0,"行政处罚",2920.0,3.4246575342465754E-4
2016.0,"坪山区",1.0,"行政处罚",2219.0,4.506534474988734E-4
2016.0,"大鹏新区",1.0,"行政处罚",2588.0,3.863987635239567E-4
2016.0,"宝安区",1.0,"行政处罚",2874.0,3.479471120389701E-4
2016.0,"盐田区",1.0,"行政处罚",3163.0,3.161555485298767E-4
2016.0,"福田区",1.0,"行政处罚",2429.0,4.116920543433512E-4
2016.0,"罗湖区",1.0,"行政处罚",3553.0,2.8145229383619476E-4
2016.0,"龙华区",1.0,"行政处罚",2615.0,3.824091778202677E-4
2016.0,"龙岗区",1.0,"行政处罚",2750.0,3.636363636363636E-4
2017.0,"光明区",1.0,"行政处罚",2921.0,3.4234851078397807E-4
2017.0,"南山区",3.0,"行政处罚",3274.0,9.163103237629811E-4
2017.0,"坪山区",2.0,"行政处罚",2423.0,8.254230293025176E-4
2017.0,"大鹏新区",1.0,"行政处罚",2862.0,3.4940600978336826E-4
2017.0,"宝安区",4.0,"行政处罚",3118.0,0.0012828736369467607
2017.0,"盐田区",1.0,"行政处罚",3515.0,2.844950213371266E-4
2017.0,"福田区",3.0,"行政处罚",2726.0,0.0011005135730007337
2017.0,"罗湖区",2.0,"行政处罚",3838.0,5.211047420531526E-4
2017.0,"龙华区",3.0,"行政处罚",2884.0,0.0010402219140083217
2017.0,"龙岗区",4.0,"行政处罚",3193.0,0.001252740369558409
2018.0,"光明区",15.0,"行政处罚",3327.0,0.004508566275924256
2018.0,"南山区",26.0,"行政处罚",3632.0,0.007158590308370044
2018.0,"坪山区",11.0,"行政处罚",2739.0,0.004016064257028112
2018.0,"大鹏新区",5.0,"行政处罚",3120.0,0.0016025641025641025
2018.0,"宝安区",28.0,"行政处罚",3539.0,0.007911839502684374
2018.0,"盐田区",8.0,"行政处罚",3907.0,0.002047606859482979
2018.0,"福田区",20.0,"行政处罚",3180.0,0.006289308176100629
2018.0,"罗湖区",26.0,"行政处罚",4166.0,0.006240998559769563
2018.0,"龙华区",21.0,"行政处罚",3386.0,0.0062020082693443595
2018.0,"龙岗区",27.0,"行政处罚",3536.0,0.007635746606334841
2019.0,"光明区",5.0,"行政处罚",4633.0,0.0010792143319663286
2019.0,"南山区",12.0,"行政处罚",4606.0,0.0026052974381241857
2019.0,"坪山区",10.0,"行政处罚",4528.0,0.002208480565371025
2019.0,"大鹏新区",1.0,"行政处罚",3833.0,2.6089225150013044E-4
2019.0,"宝安区",13.0,"行政处罚",4957.0,0.002622553964091184
2019.0,"盐田区",1.0,"行政处罚",4706.0,2.1249468763280918E-4
2019.0,"福田区",9.0,"行政处罚",4187.0,0.0021495103893002148
2019.0,"罗湖区",10.0,"行政处罚",4901.0,0.0020403999183840034
2019.0,"龙华区",5.0,"行政处罚",4883.0,0.0010239606799098914
2019.0,"龙岗区",3.0,"行政处罚",4425.0,6.779661016949153E-4
