"YEAR","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO_BALANCE"
2016.0,"光明区",1.0,"行政处罚",2276.0,4.393673110720562E-4
2016.0,"南山区",1.0,"行政处罚",2527.0,3.957261574990107E-4
2016.0,"坪山区",1.0,"行政处罚",1829.0,5.467468562055768E-4
2016.0,"大鹏新区",1.0,"行政处罚",2198.0,4.5495905368516835E-4
2016.0,"宝安区",1.0,"行政处罚",2341.0,4.2716787697565144E-4
2016.0,"盐田区",1.0,"行政处罚",2723.0,3.672420124862284E-4
2016.0,"福田区",1.0,"行政处罚",1885.0,5.305039787798408E-4
2016.0,"罗湖区",1.0,"行政处罚",3153.0,3.171582619727244E-4
2016.0,"龙华区",1.0,"行政处罚",2226.0,4.492362982929021E-4
2016.0,"龙岗区",1.0,"行政处罚",2363.0,4.2319085907744394E-4
2017.0,"光明区",1.0,"行政处罚",2502.0,3.996802557953637E-4
2017.0,"南山区",3.0,"行政处罚",2854.0,0.001051156271899089
2017.0,"坪山区",2.0,"行政处罚",2005.0,9.97506234413965E-4
2017.0,"大鹏新区",1.0,"行政处罚",2444.0,4.091653027823241E-4
2017.0,"宝安区",4.0,"行政处罚",2547.0,0.0015704750687082843
2017.0,"盐田区",1.0,"行政处罚",3044.0,3.28515111695138E-4
2017.0,"福田区",3.0,"行政处罚",2054.0,0.0014605647517039922
2017.0,"罗湖区",2.0,"行政处罚",3406.0,5.871990604815032E-4
2017.0,"龙华区",3.0,"行政处罚",2468.0,0.0012155591572123178
2017.0,"龙岗区",4.0,"行政处罚",2779.0,0.0014393666786613889
2018.0,"光明区",15.0,"行政处罚",2906.0,0.00516173434273916
2018.0,"南山区",26.0,"行政处罚",3210.0,0.00809968847352025
2018.0,"坪山区",11.0,"行政处罚",2319.0,0.004743423889607589
2018.0,"大鹏新区",5.0,"行政处罚",2699.0,0.001852537977028529
2018.0,"宝安区",28.0,"行政处罚",2966.0,0.009440323668240054
2018.0,"盐田区",8.0,"行政处罚",3427.0,0.0023344032681645753
2018.0,"福田区",20.0,"行政处罚",2464.0,0.008116883116883116
2018.0,"罗湖区",26.0,"行政处罚",3727.0,0.00697612020391736
2018.0,"龙华区",21.0,"行政处罚",2968.0,0.007075471698113208
2018.0,"龙岗区",27.0,"行政处罚",3119.0,0.008656620711766592
2019.0,"光明区",5.0,"行政处罚",4210.0,0.0011876484560570072
2019.0,"南山区",12.0,"行政处罚",4182.0,0.0028694404591104736
2019.0,"坪山区",10.0,"行政处罚",4104.0,0.0024366471734892786
2019.0,"大鹏新区",1.0,"行政处罚",3410.0,2.932551319648094E-4
2019.0,"宝安区",13.0,"行政处罚",4239.0,0.003066761028544468
2019.0,"盐田区",1.0,"行政处罚",4224.0,2.3674242424242425E-4
2019.0,"福田区",9.0,"行政处罚",3290.0,0.002735562310030395
2019.0,"罗湖区",10.0,"行政处罚",4460.0,0.002242152466367713
2019.0,"龙华区",5.0,"行政处罚",4463.0,0.001120322652924042
2019.0,"龙岗区",3.0,"行政处罚",4006.0,7.488766849725411E-4
