"PUNISH_QUYU","YEAR","SUM(*)"
,2016.0,269
,2017.0,710
,2018.0,728
,2019.0,270
"光明区",2016.0,108
"光明区",2017.0,288
"光明区",2018.0,181
"光明区",2019.0,47
"南山区",2016.0,201
"南山区",2017.0,1262
"南山区",2018.0,1310
"南山区",2019.0,373
"坪山区",2016.0,42
"坪山区",2017.0,153
"坪山区",2018.0,70
"坪山区",2019.0,27
"大鹏新区",2016.0,14
"大鹏新区",2017.0,58
"大鹏新区",2018.0,28
"大鹏新区",2019.0,10
"宝安区",2016.0,233
"宝安区",2017.0,2145
"宝安区",2018.0,1177
"宝安区",2019.0,330
"盐田区",2016.0,8
"盐田区",2017.0,43
"盐田区",2018.0,21
"盐田区",2019.0,17
"福田区",2016.0,674
"福田区",2017.0,677
"福田区",2018.0,662
"福田区",2019.0,204
"罗湖区",2016.0,227
"罗湖区",2017.0,1679
"罗湖区",2018.0,1174
"罗湖区",2019.0,223
"龙华区",2016.0,186
"龙华区",2017.0,1161
"龙华区",2018.0,631
"龙华区",2019.0,187
"龙岗区",2016.0,474
"龙岗区",2017.0,1884
"龙岗区",2018.0,1132
"龙岗区",2019.0,230
