"PUNISH_QUYU","YEAR","PUNISH_TYPE","SUM(*)"
"光明区",2016.0,1.0,1480048.7000000002
"光明区",2016.0,2.0,
"光明区",2017.0,1.0,5696078.09
"光明区",2017.0,2.0,
"光明区",2018.0,1.0,4.741638747999999E7
"光明区",2018.0,2.0,500.0
"光明区",2019.0,1.0,4697119.01
"光明区",2019.0,2.0,
"南山区",2016.0,1.0,1386347.62
"南山区",2016.0,2.0,32050.0
"南山区",2017.0,1.0,1.4679921440000001E7
"南山区",2017.0,2.0,25900.0
"南山区",2018.0,1.0,3.2399881782000005E8
"南山区",2018.0,2.0,45450.0
"南山区",2019.0,1.0,7895123.25
"南山区",2019.0,2.0,43200.0
"坪山区",2016.0,1.0,456977.39999999997
"坪山区",2016.0,2.0,
"坪山区",2017.0,1.0,3336443.8000000003
"坪山区",2017.0,2.0,
"坪山区",2018.0,1.0,9843954.579999998
"坪山区",2018.0,2.0,
"坪山区",2019.0,1.0,5931640.549999999
"坪山区",2019.0,2.0,150.0
"大鹏新区",2016.0,1.0,289863.0
"大鹏新区",2016.0,2.0,
"大鹏新区",2017.0,1.0,1236738.0999999999
"大鹏新区",2017.0,2.0,500.0
"大鹏新区",2018.0,1.0,3980066.6299999994
"大鹏新区",2018.0,2.0,1000.0
"大鹏新区",2019.0,1.0,565675.4
"大鹏新区",2019.0,2.0,50.0
"宝安区",2016.0,1.0,3749286.65
"宝安区",2016.0,2.0,45300.0
"宝安区",2017.0,1.0,2.205855816E7
"宝安区",2017.0,2.0,59900.0
"宝安区",2018.0,1.0,3.254708632E7
"宝安区",2018.0,2.0,53050.0
"宝安区",2019.0,1.0,1.4489390320000002E7
"宝安区",2019.0,2.0,43950.0
"市级",2016.0,1.0,1.3200251069999998E7
"市级",2016.0,2.0,9200.0
"市级",2017.0,1.0,7.558967642E7
"市级",2017.0,2.0,1000.0
"市级",2018.0,1.0,1.2225792183E8
"市级",2018.0,2.0,7500.0
"市级",2019.0,1.0,2.592160811E7
"市级",2019.0,2.0,3000.0
"盐田区",2016.0,1.0,214517.0
"盐田区",2016.0,2.0,
"盐田区",2017.0,1.0,1280351.95
"盐田区",2017.0,2.0,
"盐田区",2018.0,1.0,1349662.94
"盐田区",2018.0,2.0,
"盐田区",2019.0,1.0,634246.0
"盐田区",2019.0,2.0,
"福田区",2016.0,1.0,5740377.619999999
"福田区",2016.0,2.0,8700.0
"福田区",2017.0,1.0,1.1315187209999997E7
"福田区",2017.0,2.0,10300.0
"福田区",2018.0,1.0,1.392510256E7
"福田区",2018.0,2.0,9600.0
"福田区",2019.0,1.0,6722951.369999999
"福田区",2019.0,2.0,75250.0
"罗湖区",2016.0,1.0,2265506.0700000003
"罗湖区",2016.0,2.0,15000.0
"罗湖区",2017.0,1.0,7277124.749999996
"罗湖区",2017.0,2.0,
"罗湖区",2018.0,1.0,1.1368328629999999E7
"罗湖区",2018.0,2.0,
"罗湖区",2019.0,1.0,1.571166276E7
"罗湖区",2019.0,2.0,5350.0
"龙华区",2016.0,1.0,2159661.5700000003
"龙华区",2016.0,2.0,
"龙华区",2017.0,1.0,9916851.32
"龙华区",2017.0,2.0,
"龙华区",2018.0,1.0,1.6813558519999996E7
"龙华区",2018.0,2.0,
"龙华区",2019.0,1.0,6942175.789999999
"龙华区",2019.0,2.0,1450.0
"龙岗区",2016.0,1.0,1.000248119E7
"龙岗区",2016.0,2.0,
"龙岗区",2017.0,1.0,2.9910576639999986E7
"龙岗区",2017.0,2.0,
"龙岗区",2018.0,1.0,3.756323185000001E7
"龙岗区",2018.0,2.0,1000.0
"龙岗区",2019.0,1.0,9503208.609999998
"龙岗区",2019.0,2.0,77959.0
