"YEAR","PUNISH_QUYU","PUNISH_TYPE","SUM(*)"
2016.0,"光明区",1.0,222
2016.0,"光明区",2.0,52
2016.0,"南山区",1.0,326
2016.0,"南山区",2.0,95
2016.0,"坪山区",1.0,146
2016.0,"坪山区",2.0,50
2016.0,"大鹏新区",1.0,46
2016.0,"大鹏新区",2.0,9
2016.0,"宝安区",1.0,1000
2016.0,"宝安区",2.0,292
2016.0,"盐田区",1.0,28
2016.0,"盐田区",2.0,6
2016.0,"福田区",1.0,962
2016.0,"福田区",2.0,50
2016.0,"罗湖区",1.0,391
2016.0,"罗湖区",2.0,35
2016.0,"龙华区",1.0,507
2016.0,"龙华区",2.0,180
2016.0,"龙岗区",1.0,856
2016.0,"龙岗区",2.0,134
2017.0,"光明区",1.0,917
2017.0,"光明区",2.0,26
2017.0,"南山区",1.0,2320
2017.0,"南山区",2.0,59
2017.0,"坪山区",1.0,617
2017.0,"坪山区",2.0,38
2017.0,"大鹏新区",1.0,242
2017.0,"大鹏新区",2.0,18
2017.0,"宝安区",1.0,6203
2017.0,"宝安区",2.0,234
2017.0,"盐田区",1.0,174
2017.0,"盐田区",2.0,21
2017.0,"福田区",1.0,1624
2017.0,"福田区",2.0,42
2017.0,"罗湖区",1.0,2515
2017.0,"罗湖区",2.0,8
2017.0,"龙华区",1.0,2374
2017.0,"龙华区",2.0,175
2017.0,"龙岗区",1.0,4001
2017.0,"龙岗区",2.0,30
2018.0,"光明区",1.0,1778
2018.0,"光明区",2.0,59
2018.0,"南山区",1.0,3368
2018.0,"南山区",2.0,122
2018.0,"坪山区",1.0,1198
2018.0,"坪山区",2.0,64
2018.0,"大鹏新区",1.0,301
2018.0,"大鹏新区",2.0,38
2018.0,"宝安区",1.0,7289
2018.0,"宝安区",2.0,351
2018.0,"盐田区",1.0,296
2018.0,"盐田区",2.0,64
2018.0,"福田区",1.0,2552
2018.0,"福田区",2.0,76
2018.0,"罗湖区",1.0,2443
2018.0,"罗湖区",2.0,93
2018.0,"龙华区",1.0,2795
2018.0,"龙华区",2.0,187
2018.0,"龙岗区",1.0,4869
2018.0,"龙岗区",2.0,131
2019.0,"光明区",1.0,732
2019.0,"光明区",2.0,202
2019.0,"南山区",1.0,1114
2019.0,"南山区",2.0,507
2019.0,"坪山区",1.0,1201
2019.0,"坪山区",2.0,73
2019.0,"大鹏新区",1.0,119
2019.0,"大鹏新区",2.0,43
2019.0,"宝安区",1.0,8758
2019.0,"宝安区",2.0,241
2019.0,"盐田区",1.0,137
2019.0,"盐田区",2.0,33
2019.0,"福田区",1.0,2718
2019.0,"福田区",2.0,1039
2019.0,"罗湖区",1.0,1593
2019.0,"罗湖区",2.0,159
2019.0,"龙华区",1.0,2121
2019.0,"龙华区",2.0,178
2019.0,"龙岗区",1.0,3502
2019.0,"龙岗区",2.0,1573
