"YEAR","PUNISH_QUYU","POWER_ID","POWER_COUNT","PUNISH_TYPE","POWER_CODE","POWER_NAME","RANK_COUNT"
2016.0,"市级","c3ea8fa4-3f37-46d2-b99b-f14c3f79ac32",4.0,1.0,"11440300MB2C94128A020204","对违反捕捞许可证关于作业类型、时限的规定进行捕捞政处罚",1.0
2017.0,"宝安区","d62d2538-5ee1-4529-b419-aee96371e531",1.0,1.0,"1144030600755054XN020050","对施工单位在施工工地未设置硬质围挡，或者未采取覆盖、分段作业、择时施工、洒水抑尘、冲洗地面和车辆等有效防尘降尘措施；建筑土方、工程渣土、建筑垃圾未及时清运，或者未采用密闭式防尘网遮盖的行政处罚",1.0
2017.0,"福田区","dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",11.0,1.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",1.0
2017.0,"福田区","57640b7d-0c4b-42e3-b1c2-cb1fc5c87bed",4.0,1.0,"11440300MB2C93125R020236","对向周围环境排放工业噪声超过规定排放标准或者技术规范限值的处罚",2.0
2017.0,"福田区","3fc26c30-ad3e-4a58-8f85-8594b9c4a0ea",2.0,1.0,"11440300MB2C93125R020128","对建设单位未按照建设项目环境影响报告书、报告表、审批部门审批决定的要求配套建设环境保护设施的处罚",3.0
2017.0,"福田区","dcd00f05-6a17-48e8-b31f-1a84ec555fdd",1.0,1.0,"11440304007542822U020021","对供应商在政府采购活动中违法行为的处罚",4.0
2017.0,"福田区","e12c9af7-1721-456a-ac3d-70241f25c862",1.0,1.0,"11440300MB2C93125R020211","对建设单位未依法备案建设项目环境影响登记表的处罚",4.0
2017.0,"福田区","fcad60df-cad3-4675-b591-a20db4de1c19",1.0,1.0,"11440300MB2C93125R020048","对经营中的文化娱乐场所边界噪声超过国家规定的环境噪声排放标准或者在商业经营活动中使用空调器、冷却塔等可能产生环境噪声污染的设备、设施的经营管理者其边界噪声超过国家规定的环境噪声排放标准而造成环境噪声污染的处罚",4.0
2017.0,"福田区","51eeb45d-789a-4c5c-bf74-beba4f18b9f1",1.0,1.0,"114403045747534156020006","对用人单位支付员工工资低于最低工资、克扣或者无故拖欠员工工资、以实物等非货币形式支付员工工资，经责令改正逾期未改正的违法行为的处罚",4.0
2017.0,"福田区","cd4adbe9-ec82-45ee-b217-9018dc8c7ad8",1.0,1.0,"11440300MB2C93125R020001","对排放油烟的餐饮服务业经营者未安装油烟净化设施、不正常使用油烟净化设施或未采取其他油烟净化措施，超标排放油烟的处罚",4.0
2017.0,"福田区","8c30c7bb-9251-4c0e-8b64-4446996c744d",1.0,1.0,"11440304MB2D11725U020050","对未按照工程规划许可证的规定进行建设的行政处罚；对未取得工程规划许可证的行政处罚",4.0
2017.0,"龙岗区","b8f05563-b2f0-458d-81fd-b160436828b7",15.0,1.0,"1144030700755150X8020005","对供应商在政府采购活动中违法行为的处罚",1.0
2017.0,"龙华区","06e4f8ef-ecca-4095-90d1-8c8455bfbea9",1.0,1.0,"11440309MB2D27890L020243","未取得污水排入排水管网许可证向城镇排水设施排放污水",1.0
2017.0,"龙华区","b7567073-8db9-48c5-9b0a-513dc056496f",1.0,1.0,"11440309MB2D27890L020242","未取得取水许可证，私采地下水",1.0
2017.0,"龙华区","c19d76eb-a60b-4166-99b8-0b01779d2610",1.0,1.0,"11440309MB2D27890L020246","不具备排水条件，强行向道路、公共绿地和其他公共场所排水",1.0
2017.0,"龙华区","dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",1.0,1.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",1.0
2017.0,"罗湖区","18706d09-ec2e-4775-8692-0edb7021f0c5",1.0,1.0,"114403035731270177020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",1.0
2017.0,"罗湖区","809e175d-1bdf-4284-b796-c3c6a7e3c4e4",1.0,1.0,"114403035731270177020062","对用人单位支付员工工资低于最低工资、克扣或者无故拖欠员工工资、以实物等非货币形式支付员工工资，经责令改正逾期未改正的违法行为的处罚",1.0
2017.0,"南山区","075741dc-4464-4a00-b577-a2ba789fdf7a",5.0,1.0,"114403050075449597020099","用人单位克扣员工工资",1.0
2017.0,"南山区","ceb9af97-bf47-45bd-9de7-ea4314372364",1.0,1.0,"114403050075449597020026","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",2.0
2017.0,"市级","4aa4f2a4-4ff1-46e3-9e63-a04d26fdcfe6",5.0,1.0,"11440300007541539G020054","对供应商在政府采购活动中违法行为的处罚",1.0
2017.0,"市级","17837a5e-529c-41ae-907c-975d2e8636c2",2.0,1.0,"11440300693981103B020090","施工工序未按施工技术标准进行质量控制",2.0
2017.0,"市级","253d17f0-42d4-4728-ba07-c7beda0d8a17",1.0,1.0,"1144030000754174XT020007","对律师私自接受委托、收取费用，接受委托人财物或者其他利益；接受委托后，无正当理由，拒绝辩护或者代理，不按时出庭参加诉讼或者仲裁；利用提供法律服务的便利牟取当事人争议的权益；泄露商业秘密或者个人隐私的行为的行政处罚。",3.0
2017.0,"市级","ccddc7f9-8aa1-4e35-b7fd-72fd40633667",1.0,1.0,"11440300693981103B020129","施工现场进行爆破、吊装等危险作业时，未安排专门人员进行现场安全管理的",3.0
2017.0,"市级","13ed88db-c3bd-4c73-aa68-1d4f0afef6f8",1.0,1.0,"11440300007542195T020011","未按照章程规定的宗旨和业务范围进行活动的；对分支机构、代表机构疏于管理，造成严重后果的；提供虚假或者隐瞒重要事实的财务预算、决算报告的；违法或者违反章程规定收取会费、取得其他收入或者使用资助、捐赠的；有《广东省行业协会条例》第二十八条规定情形的",3.0
2017.0,"市级","9e7e213d-4d88-4a83-8fbc-7f36133ae78a",1.0,1.0,"11440300MB2C94128A020266","对未取得驯养繁殖许可证的处罚",3.0
2017.0,"市级","6eb21197-664e-42ec-8192-ce916a0df814",1.0,1.0,"11440300007542195T020006","不依法办理变更登记的；未经登记设立分支机构、代表机构的；拒不接受或者不按照规定接受监督检查的；违反《广东省行业协会条例》其他行为的",3.0
2018.0,"宝安区","aa4738fa-1b8f-4987-b4e4-dad4db51ecf5",1.0,1.0,"1144030600755054XN020098","对建设单位或者业主大会、业主委员会擅自采用协议方式选聘物业服务企业的处罚",1.0
