"YEAR","PUNISH_QUYU","PUNISH_TYPE","SUM(*)"
2016.0,"市级",1.0,1.0
2017.0,"南山区",1.0,2.0
2017.0,"宝安区",1.0,1.0
2017.0,"福田区",1.0,9.0
2017.0,"罗湖区",1.0,2.0
2017.0,"龙华区",1.0,4.0
2017.0,"龙岗区",1.0,1.0
2018.0,"南山区",1.0,6.0
2018.0,"大鹏新区",1.0,5.0
2018.0,"市级",1.0,3.0
2018.0,"盐田区",1.0,2.0
2018.0,"福田区",1.0,5.0
2018.0,"罗湖区",1.0,3.0
2018.0,"龙华区",1.0,2.0
2018.0,"龙岗区",1.0,4.0
2019.0,"南山区",1.0,3.0
2019.0,"坪山区",1.0,1.0
2019.0,"宝安区",1.0,1.0
2019.0,"市级",1.0,1.0
2019.0,"盐田区",1.0,4.0
2019.0,"福田区",1.0,3.0
2019.0,"罗湖区",1.0,4.0
2019.0,"龙华区",1.0,3.0
2019.0,"龙岗区",1.0,4.0
