"PUNISH_QUYU","YEAR","SUM(*)"
,2016.0,59
,2017.0,85
,2018.0,58
,2019.0,14
"光明区",2017.0,20
"光明区",2018.0,16
"光明区",2019.0,5
"南山区",2016.0,1
"南山区",2017.0,14
"南山区",2018.0,30
"南山区",2019.0,5
"坪山区",2016.0,1
"坪山区",2017.0,2
"坪山区",2018.0,5
"坪山区",2019.0,5
"大鹏新区",2018.0,1
"大鹏新区",2019.0,1
"宝安区",2016.0,7
"宝安区",2017.0,29
"宝安区",2018.0,34
"宝安区",2019.0,4
"盐田区",2017.0,2
"盐田区",2018.0,6
"盐田区",2019.0,4
"福田区",2016.0,49
"福田区",2017.0,27
"福田区",2018.0,13
"福田区",2019.0,11
"罗湖区",2016.0,12
"罗湖区",2017.0,54
"罗湖区",2018.0,40
"罗湖区",2019.0,23
"龙华区",2016.0,2
"龙华区",2017.0,8
"龙华区",2018.0,18
"龙华区",2019.0,6
"龙岗区",2016.0,21
"龙岗区",2017.0,63
"龙岗区",2018.0,36
"龙岗区",2019.0,8
