"YEAR","SUB_HANGYE","SUB_QUYU","SUM(*)"
2016.0,"保密","宝安区",0.0
2017.0,"保密","宝安区",0.0
2018.0,"保密","宝安区",0.0
2019.0,"保密","宝安区",4.0
2016.0,"保密","光明区",0.0
2017.0,"保密","光明区",0.0
2018.0,"保密","光明区",0.0
2019.0,"保密","光明区",3.0
2016.0,"保密","龙岗区",0.0
2017.0,"保密","龙岗区",0.0
2018.0,"保密","龙岗区",0.0
2019.0,"保密","龙岗区",5.0
2016.0,"保密","龙华区",0.0
2017.0,"保密","龙华区",0.0
2018.0,"保密","龙华区",0.0
2019.0,"保密","龙华区",4.0
2016.0,"保密","南山区",0.0
2017.0,"保密","南山区",0.0
2018.0,"保密","南山区",0.0
2019.0,"保密","南山区",5.0
2016.0,"保密","坪山区",0.0
2017.0,"保密","坪山区",0.0
2018.0,"保密","坪山区",0.0
2019.0,"保密","坪山区",3.0
2016.0,"保密","盐田区",0.0
2017.0,"保密","盐田区",0.0
2018.0,"保密","盐田区",0.0
2019.0,"保密","盐田区",4.0
2016.0,"财政","宝安区",0.0
2017.0,"财政","宝安区",0.0
2018.0,"财政","宝安区",0.0
2019.0,"财政","宝安区",48.0
2016.0,"财政","大鹏新区",0.0
2017.0,"财政","大鹏新区",0.0
2018.0,"财政","大鹏新区",0.0
2019.0,"财政","大鹏新区",95.0
2016.0,"财政","福田区",0.0
2017.0,"财政","福田区",0.0
2018.0,"财政","福田区",0.0
2019.0,"财政","福田区",36.0
2016.0,"财政","光明区",0.0
2017.0,"财政","光明区",0.0
2018.0,"财政","光明区",0.0
2019.0,"财政","光明区",12.0
2016.0,"财政","龙岗区",0.0
2017.0,"财政","龙岗区",0.0
2018.0,"财政","龙岗区",0.0
2019.0,"财政","龙岗区",54.0
2016.0,"财政","龙华区",0.0
2017.0,"财政","龙华区",0.0
2018.0,"财政","龙华区",0.0
2019.0,"财政","龙华区",23.0
2016.0,"财政","罗湖区",0.0
2017.0,"财政","罗湖区",0.0
2018.0,"财政","罗湖区",0.0
2019.0,"财政","罗湖区",33.0
2016.0,"财政","南山区",0.0
2017.0,"财政","南山区",0.0
2018.0,"财政","南山区",0.0
2019.0,"财政","南山区",26.0
2016.0,"财政","坪山区",0.0
2017.0,"财政","坪山区",0.0
2018.0,"财政","坪山区",0.0
2019.0,"财政","坪山区",14.0
2016.0,"财政","盐田区",0.0
2017.0,"财政","盐田区",0.0
2018.0,"财政","盐田区",0.0
2019.0,"财政","盐田区",20.0
2016.0,"城管","宝安区",0.0
2017.0,"城管","宝安区",0.0
2018.0,"城管","宝安区",0.0
2019.0,"城管","宝安区",216.0
2016.0,"城管","大鹏新区",0.0
2017.0,"城管","大鹏新区",0.0
2018.0,"城管","大鹏新区",0.0
2019.0,"城管","大鹏新区",19.0
2016.0,"城管","福田区",0.0
2017.0,"城管","福田区",0.0
2018.0,"城管","福田区",0.0
2019.0,"城管","福田区",28.0
2016.0,"城管","光明区",0.0
2017.0,"城管","光明区",0.0
2018.0,"城管","光明区",0.0
2019.0,"城管","光明区",20.0
2016.0,"城管","龙岗区",0.0
2017.0,"城管","龙岗区",0.0
2018.0,"城管","龙岗区",0.0
2019.0,"城管","龙岗区",54.0
2016.0,"城管","龙华区",0.0
2017.0,"城管","龙华区",0.0
2018.0,"城管","龙华区",0.0
2019.0,"城管","龙华区",34.0
2016.0,"城管","罗湖区",0.0
2017.0,"城管","罗湖区",0.0
2018.0,"城管","罗湖区",0.0
2019.0,"城管","罗湖区",47.0
2016.0,"城管","南山区",0.0
2017.0,"城管","南山区",0.0
2018.0,"城管","南山区",0.0
2019.0,"城管","南山区",202.0
2016.0,"城管","坪山区",0.0
2017.0,"城管","坪山区",0.0
2018.0,"城管","坪山区",0.0
2019.0,"城管","坪山区",42.0
2016.0,"城管","盐田区",0.0
2017.0,"城管","盐田区",0.0
2018.0,"城管","盐田区",0.0
2019.0,"城管","盐田区",19.0
2016.0,"档案","宝安区",0.0
2017.0,"档案","宝安区",0.0
2018.0,"档案","宝安区",0.0
2019.0,"档案","宝安区",2.0
2016.0,"档案","福田区",0.0
2017.0,"档案","福田区",0.0
2018.0,"档案","福田区",0.0
2019.0,"档案","福田区",4.0
2016.0,"档案","光明区",0.0
2017.0,"档案","光明区",0.0
2018.0,"档案","光明区",0.0
2019.0,"档案","光明区",3.0
2016.0,"档案","龙岗区",0.0
2017.0,"档案","龙岗区",0.0
2018.0,"档案","龙岗区",0.0
2019.0,"档案","龙岗区",3.0
2016.0,"档案","龙华区",0.0
2017.0,"档案","龙华区",0.0
2018.0,"档案","龙华区",0.0
2019.0,"档案","龙华区",2.0
2016.0,"档案","罗湖区",0.0
2017.0,"档案","罗湖区",0.0
2018.0,"档案","罗湖区",0.0
2019.0,"档案","罗湖区",2.0
2016.0,"档案","南山区",0.0
2017.0,"档案","南山区",0.0
2018.0,"档案","南山区",0.0
2019.0,"档案","南山区",1.0
2016.0,"档案","盐田区",0.0
2017.0,"档案","盐田区",0.0
2018.0,"档案","盐田区",0.0
2019.0,"档案","盐田区",3.0
2016.0,"发改","宝安区",0.0
2017.0,"发改","宝安区",0.0
2018.0,"发改","宝安区",0.0
2019.0,"发改","宝安区",0.0
2016.0,"发改","大鹏新区",0.0
2017.0,"发改","大鹏新区",0.0
2018.0,"发改","大鹏新区",0.0
2019.0,"发改","大鹏新区",95.0
2016.0,"发改","福田区",0.0
2017.0,"发改","福田区",0.0
2018.0,"发改","福田区",0.0
2019.0,"发改","福田区",20.0
2016.0,"发改","光明区",0.0
2017.0,"发改","光明区",0.0
2018.0,"发改","光明区",0.0
2019.0,"发改","光明区",36.0
2016.0,"发改","龙岗区",0.0
2017.0,"发改","龙岗区",0.0
2018.0,"发改","龙岗区",0.0
2019.0,"发改","龙岗区",26.0
2016.0,"发改","罗湖区",0.0
2017.0,"发改","罗湖区",0.0
2018.0,"发改","罗湖区",0.0
2019.0,"发改","罗湖区",5.0
2016.0,"发改","南山区",0.0
2017.0,"发改","南山区",0.0
2018.0,"发改","南山区",0.0
2019.0,"发改","南山区",38.0
2016.0,"工信","宝安区",0.0
2017.0,"工信","宝安区",0.0
2018.0,"工信","宝安区",0.0
2019.0,"工信","宝安区",0.0
2016.0,"工信","福田区",0.0
2017.0,"工信","福田区",0.0
2018.0,"工信","福田区",0.0
2019.0,"工信","福田区",19.0
2016.0,"工信","光明区",0.0
2017.0,"工信","光明区",0.0
2018.0,"工信","光明区",0.0
2019.0,"工信","光明区",0.0
2016.0,"工信","龙岗区",0.0
2017.0,"工信","龙岗区",0.0
2018.0,"工信","龙岗区",0.0
2019.0,"工信","龙岗区",47.0
2016.0,"工信","龙华区",0.0
2017.0,"工信","龙华区",0.0
2018.0,"工信","龙华区",0.0
2019.0,"工信","龙华区",27.0
2016.0,"工信","罗湖区",0.0
2017.0,"工信","罗湖区",0.0
2018.0,"工信","罗湖区",0.0
2019.0,"工信","罗湖区",27.0
2016.0,"工信","南山区",0.0
2017.0,"工信","南山区",0.0
2018.0,"工信","南山区",0.0
2019.0,"工信","南山区",20.0
2016.0,"工信","坪山区",0.0
2017.0,"工信","坪山区",0.0
2018.0,"工信","坪山区",0.0
2019.0,"工信","坪山区",32.0
2016.0,"工信","盐田区",0.0
2017.0,"工信","盐田区",0.0
2018.0,"工信","盐田区",0.0
2019.0,"工信","盐田区",17.0
2016.0,"公安","宝安区",0.0
2017.0,"公安","宝安区",0.0
2018.0,"公安","宝安区",0.0
2019.0,"公安","宝安区",2439.0
2016.0,"公安","大鹏新区",0.0
2017.0,"公安","大鹏新区",0.0
2018.0,"公安","大鹏新区",0.0
2019.0,"公安","大鹏新区",294.0
2016.0,"公安","福田区",0.0
2017.0,"公安","福田区",0.0
2018.0,"公安","福田区",0.0
2019.0,"公安","福田区",2301.0
2016.0,"公安","光明区",0.0
2017.0,"公安","光明区",0.0
2018.0,"公安","光明区",0.0
2019.0,"公安","光明区",702.0
2016.0,"公安","龙岗区",0.0
2017.0,"公安","龙岗区",0.0
2018.0,"公安","龙岗区",0.0
2019.0,"公安","龙岗区",2780.0
2016.0,"公安","龙华区",0.0
2017.0,"公安","龙华区",0.0
2018.0,"公安","龙华区",0.0
2019.0,"公安","龙华区",1189.0
2016.0,"公安","罗湖区",0.0
2017.0,"公安","罗湖区",0.0
2018.0,"公安","罗湖区",0.0
2019.0,"公安","罗湖区",2301.0
2016.0,"公安","南山区",0.0
2017.0,"公安","南山区",0.0
2018.0,"公安","南山区",0.0
2019.0,"公安","南山区",2021.0
2016.0,"公安","坪山区",0.0
2017.0,"公安","坪山区",0.0
2018.0,"公安","坪山区",0.0
2019.0,"公安","坪山区",460.0
2016.0,"公安","盐田区",0.0
2017.0,"公安","盐田区",0.0
2018.0,"公安","盐田区",0.0
2019.0,"公安","盐田区",491.0
2016.0,"规自","宝安区",0.0
2017.0,"规自","宝安区",0.0
2018.0,"规自","宝安区",0.0
2019.0,"规自","宝安区",170.0
2016.0,"规自","大鹏新区",0.0
2017.0,"规自","大鹏新区",0.0
2018.0,"规自","大鹏新区",0.0
2019.0,"规自","大鹏新区",93.0
2016.0,"规自","福田区",0.0
2017.0,"规自","福田区",0.0
2018.0,"规自","福田区",0.0
2019.0,"规自","福田区",78.0
2016.0,"规自","光明区",0.0
2017.0,"规自","光明区",0.0
2018.0,"规自","光明区",0.0
2019.0,"规自","光明区",58.0
2016.0,"规自","龙岗区",0.0
2017.0,"规自","龙岗区",0.0
2018.0,"规自","龙岗区",0.0
2019.0,"规自","龙岗区",126.0
2016.0,"规自","龙华区",0.0
2017.0,"规自","龙华区",0.0
2018.0,"规自","龙华区",0.0
2019.0,"规自","龙华区",91.0
2016.0,"规自","罗湖区",0.0
2017.0,"规自","罗湖区",0.0
2018.0,"规自","罗湖区",0.0
2019.0,"规自","罗湖区",140.0
2016.0,"规自","南山区",0.0
2017.0,"规自","南山区",0.0
2018.0,"规自","南山区",0.0
2019.0,"规自","南山区",149.0
2016.0,"规自","坪山区",0.0
2017.0,"规自","坪山区",0.0
2018.0,"规自","坪山区",0.0
2019.0,"规自","坪山区",115.0
2016.0,"规自","盐田区",0.0
2017.0,"规自","盐田区",0.0
2018.0,"规自","盐田区",0.0
2019.0,"规自","盐田区",64.0
2016.0,"教育","宝安区",0.0
2017.0,"教育","宝安区",0.0
2018.0,"教育","宝安区",0.0
2019.0,"教育","宝安区",59.0
2016.0,"教育","福田区",0.0
2017.0,"教育","福田区",0.0
2018.0,"教育","福田区",0.0
2019.0,"教育","福田区",38.0
2016.0,"教育","光明区",0.0
2017.0,"教育","光明区",0.0
2018.0,"教育","光明区",0.0
2019.0,"教育","光明区",15.0
2016.0,"教育","龙岗区",0.0
2017.0,"教育","龙岗区",0.0
2018.0,"教育","龙岗区",0.0
2019.0,"教育","龙岗区",32.0
2016.0,"教育","龙华区",0.0
2017.0,"教育","龙华区",0.0
2018.0,"教育","龙华区",0.0
2019.0,"教育","龙华区",28.0
2016.0,"教育","罗湖区",0.0
2017.0,"教育","罗湖区",0.0
2018.0,"教育","罗湖区",0.0
2019.0,"教育","罗湖区",8.0
2016.0,"教育","南山区",0.0
2017.0,"教育","南山区",0.0
2018.0,"教育","南山区",0.0
2019.0,"教育","南山区",31.0
2016.0,"教育","坪山区",0.0
2017.0,"教育","坪山区",0.0
2018.0,"教育","坪山区",0.0
2019.0,"教育","坪山区",19.0
2016.0,"教育","盐田区",0.0
2017.0,"教育","盐田区",0.0
2018.0,"教育","盐田区",0.0
2019.0,"教育","盐田区",18.0
2016.0,"科创","大鹏新区",0.0
2017.0,"科创","大鹏新区",0.0
2018.0,"科创","大鹏新区",0.0
2019.0,"科创","大鹏新区",20.0
2016.0,"科创","光明区",0.0
2017.0,"科创","光明区",0.0
2018.0,"科创","光明区",0.0
2019.0,"科创","光明区",17.0
2016.0,"民政","宝安区",0.0
2017.0,"民政","宝安区",0.0
2018.0,"民政","宝安区",0.0
2019.0,"民政","宝安区",0.0
2016.0,"民政","福田区",0.0
2017.0,"民政","福田区",0.0
2018.0,"民政","福田区",0.0
2019.0,"民政","福田区",18.0
2016.0,"民政","光明区",0.0
2017.0,"民政","光明区",0.0
2018.0,"民政","光明区",0.0
2019.0,"民政","光明区",14.0
2016.0,"民政","龙岗区",0.0
2017.0,"民政","龙岗区",0.0
2018.0,"民政","龙岗区",0.0
2019.0,"民政","龙岗区",17.0
2016.0,"民政","龙华区",0.0
2017.0,"民政","龙华区",0.0
2018.0,"民政","龙华区",0.0
2019.0,"民政","龙华区",15.0
2016.0,"民政","罗湖区",0.0
2017.0,"民政","罗湖区",0.0
2018.0,"民政","罗湖区",0.0
2019.0,"民政","罗湖区",19.0
2016.0,"民政","南山区",0.0
2017.0,"民政","南山区",0.0
2018.0,"民政","南山区",0.0
2019.0,"民政","南山区",45.0
2016.0,"民政","坪山区",0.0
2017.0,"民政","坪山区",0.0
2018.0,"民政","坪山区",0.0
2019.0,"民政","坪山区",22.0
2016.0,"民政","盐田区",0.0
2017.0,"民政","盐田区",0.0
2018.0,"民政","盐田区",0.0
2019.0,"民政","盐田区",20.0
2016.0,"民宗","宝安区",0.0
2017.0,"民宗","宝安区",0.0
2018.0,"民宗","宝安区",0.0
2019.0,"民宗","宝安区",1.0
2016.0,"民宗","福田区",0.0
2017.0,"民宗","福田区",0.0
2018.0,"民宗","福田区",0.0
2019.0,"民宗","福田区",3.0
2016.0,"民宗","光明区",0.0
2017.0,"民宗","光明区",0.0
2018.0,"民宗","光明区",0.0
2019.0,"民宗","光明区",3.0
2016.0,"民宗","龙岗区",0.0
2017.0,"民宗","龙岗区",0.0
2018.0,"民宗","龙岗区",0.0
2019.0,"民宗","龙岗区",3.0
2016.0,"民宗","龙华区",0.0
2017.0,"民宗","龙华区",0.0
2018.0,"民宗","龙华区",0.0
2019.0,"民宗","龙华区",14.0
2016.0,"民宗","罗湖区",0.0
2017.0,"民宗","罗湖区",0.0
2018.0,"民宗","罗湖区",0.0
2019.0,"民宗","罗湖区",3.0
2016.0,"民宗","南山区",0.0
2017.0,"民宗","南山区",0.0
2018.0,"民宗","南山区",0.0
2019.0,"民宗","南山区",3.0
2016.0,"民宗","坪山区",0.0
2017.0,"民宗","坪山区",0.0
2018.0,"民宗","坪山区",0.0
2019.0,"民宗","坪山区",3.0
2016.0,"民宗","盐田区",0.0
2017.0,"民宗","盐田区",0.0
2018.0,"民宗","盐田区",0.0
2019.0,"民宗","盐田区",3.0
2016.0,"人社","宝安区",0.0
2017.0,"人社","宝安区",0.0
2018.0,"人社","宝安区",0.0
2019.0,"人社","宝安区",201.0
2016.0,"人社","大鹏新区",0.0
2017.0,"人社","大鹏新区",0.0
2018.0,"人社","大鹏新区",0.0
2019.0,"人社","大鹏新区",17.0
2016.0,"人社","福田区",0.0
2017.0,"人社","福田区",0.0
2018.0,"人社","福田区",0.0
2019.0,"人社","福田区",135.0
2016.0,"人社","光明区",0.0
2017.0,"人社","光明区",0.0
2018.0,"人社","光明区",0.0
2019.0,"人社","光明区",37.0
2016.0,"人社","龙岗区",0.0
2017.0,"人社","龙岗区",0.0
2018.0,"人社","龙岗区",0.0
2019.0,"人社","龙岗区",153.0
2016.0,"人社","龙华区",0.0
2017.0,"人社","龙华区",0.0
2018.0,"人社","龙华区",0.0
2019.0,"人社","龙华区",60.0
2016.0,"人社","罗湖区",0.0
2017.0,"人社","罗湖区",0.0
2018.0,"人社","罗湖区",0.0
2019.0,"人社","罗湖区",79.0
2016.0,"人社","南山区",0.0
2017.0,"人社","南山区",0.0
2018.0,"人社","南山区",0.0
2019.0,"人社","南山区",128.0
2016.0,"人社","坪山区",0.0
2017.0,"人社","坪山区",0.0
2018.0,"人社","坪山区",0.0
2019.0,"人社","坪山区",38.0
2016.0,"人社","盐田区",0.0
2017.0,"人社","盐田区",0.0
2018.0,"人社","盐田区",0.0
2019.0,"人社","盐田区",51.0
2016.0,"审计","宝安区",0.0
2017.0,"审计","宝安区",0.0
2018.0,"审计","宝安区",0.0
2019.0,"审计","宝安区",34.0
2016.0,"审计","福田区",0.0
2017.0,"审计","福田区",0.0
2018.0,"审计","福田区",0.0
2019.0,"审计","福田区",29.0
2016.0,"审计","光明区",0.0
2017.0,"审计","光明区",0.0
2018.0,"审计","光明区",0.0
2019.0,"审计","光明区",10.0
2016.0,"审计","龙岗区",0.0
2017.0,"审计","龙岗区",0.0
2018.0,"审计","龙岗区",0.0
2019.0,"审计","龙岗区",75.0
2016.0,"审计","龙华区",0.0
2017.0,"审计","龙华区",0.0
2018.0,"审计","龙华区",0.0
2019.0,"审计","龙华区",26.0
2016.0,"审计","罗湖区",0.0
2017.0,"审计","罗湖区",0.0
2018.0,"审计","罗湖区",0.0
2019.0,"审计","罗湖区",33.0
2016.0,"审计","南山区",0.0
2017.0,"审计","南山区",0.0
2018.0,"审计","南山区",0.0
2019.0,"审计","南山区",37.0
2016.0,"审计","坪山区",0.0
2017.0,"审计","坪山区",0.0
2018.0,"审计","坪山区",0.0
2019.0,"审计","坪山区",26.0
2016.0,"审计","盐田区",0.0
2017.0,"审计","盐田区",0.0
2018.0,"审计","盐田区",0.0
2019.0,"审计","盐田区",19.0
2016.0,"生态","宝安区",0.0
2017.0,"生态","宝安区",0.0
2018.0,"生态","宝安区",0.0
2019.0,"生态","宝安区",67.0
2016.0,"生态","大鹏新区",0.0
2017.0,"生态","大鹏新区",0.0
2018.0,"生态","大鹏新区",0.0
2019.0,"生态","大鹏新区",15.0
2016.0,"生态","福田区",0.0
2017.0,"生态","福田区",0.0
2018.0,"生态","福田区",0.0
2019.0,"生态","福田区",20.0
2016.0,"生态","光明区",0.0
2017.0,"生态","光明区",0.0
2018.0,"生态","光明区",0.0
2019.0,"生态","光明区",25.0
2016.0,"生态","龙岗区",0.0
2017.0,"生态","龙岗区",0.0
2018.0,"生态","龙岗区",0.0
2019.0,"生态","龙岗区",64.0
2016.0,"生态","龙华区",0.0
2017.0,"生态","龙华区",0.0
2018.0,"生态","龙华区",0.0
2019.0,"生态","龙华区",33.0
2016.0,"生态","罗湖区",0.0
2017.0,"生态","罗湖区",0.0
2018.0,"生态","罗湖区",0.0
2019.0,"生态","罗湖区",18.0
2016.0,"生态","南山区",0.0
2017.0,"生态","南山区",0.0
2018.0,"生态","南山区",0.0
2019.0,"生态","南山区",25.0
2016.0,"生态","坪山区",0.0
2017.0,"生态","坪山区",0.0
2018.0,"生态","坪山区",0.0
2019.0,"生态","坪山区",17.0
2016.0,"生态","盐田区",0.0
2017.0,"生态","盐田区",0.0
2018.0,"生态","盐田区",0.0
2019.0,"生态","盐田区",15.0
2016.0,"事单","宝安区",0.0
2017.0,"事单","宝安区",0.0
2018.0,"事单","宝安区",0.0
2019.0,"事单","宝安区",2.0
2016.0,"事单","大鹏新区",0.0
2017.0,"事单","大鹏新区",0.0
2018.0,"事单","大鹏新区",0.0
2019.0,"事单","大鹏新区",3.0
2016.0,"事单","光明区",0.0
2017.0,"事单","光明区",0.0
2018.0,"事单","光明区",0.0
2019.0,"事单","光明区",2.0
2016.0,"事单","龙岗区",0.0
2017.0,"事单","龙岗区",0.0
2018.0,"事单","龙岗区",0.0
2019.0,"事单","龙岗区",3.0
2016.0,"事单","龙华区",0.0
2017.0,"事单","龙华区",0.0
2018.0,"事单","龙华区",0.0
2019.0,"事单","龙华区",2.0
2016.0,"事单","罗湖区",0.0
2017.0,"事单","罗湖区",0.0
2018.0,"事单","罗湖区",0.0
2019.0,"事单","罗湖区",15.0
2016.0,"事单","南山区",0.0
2017.0,"事单","南山区",0.0
2018.0,"事单","南山区",0.0
2019.0,"事单","南山区",4.0
2016.0,"事单","坪山区",0.0
2017.0,"事单","坪山区",0.0
2018.0,"事单","坪山区",0.0
2019.0,"事单","坪山区",2.0
2016.0,"事单","盐田区",0.0
2017.0,"事单","盐田区",0.0
2018.0,"事单","盐田区",0.0
2019.0,"事单","盐田区",1.0
2016.0,"市监","宝安区",0.0
2017.0,"市监","宝安区",0.0
2018.0,"市监","宝安区",0.0
2019.0,"市监","宝安区",436.0
2016.0,"市监","大鹏新区",0.0
2017.0,"市监","大鹏新区",0.0
2018.0,"市监","大鹏新区",0.0
2019.0,"市监","大鹏新区",101.0
2016.0,"市监","福田区",0.0
2017.0,"市监","福田区",0.0
2018.0,"市监","福田区",0.0
2019.0,"市监","福田区",369.0
2016.0,"市监","光明区",0.0
2017.0,"市监","光明区",0.0
2018.0,"市监","光明区",0.0
2019.0,"市监","光明区",180.0
2016.0,"市监","龙岗区",0.0
2017.0,"市监","龙岗区",0.0
2018.0,"市监","龙岗区",0.0
2019.0,"市监","龙岗区",432.0
2016.0,"市监","龙华区",0.0
2017.0,"市监","龙华区",0.0
2018.0,"市监","龙华区",0.0
2019.0,"市监","龙华区",247.0
2016.0,"市监","罗湖区",0.0
2017.0,"市监","罗湖区",0.0
2018.0,"市监","罗湖区",0.0
2019.0,"市监","罗湖区",336.0
2016.0,"市监","南山区",0.0
2017.0,"市监","南山区",0.0
2018.0,"市监","南山区",0.0
2019.0,"市监","南山区",118.0
2016.0,"市监","坪山区",0.0
2017.0,"市监","坪山区",0.0
2018.0,"市监","坪山区",0.0
2019.0,"市监","坪山区",160.0
2016.0,"市监","盐田区",0.0
2017.0,"市监","盐田区",0.0
2018.0,"市监","盐田区",0.0
2019.0,"市监","盐田区",116.0
2016.0,"水务","宝安区",0.0
2017.0,"水务","宝安区",0.0
2018.0,"水务","宝安区",0.0
2019.0,"水务","宝安区",67.0
2016.0,"水务","大鹏新区",0.0
2017.0,"水务","大鹏新区",0.0
2018.0,"水务","大鹏新区",0.0
2019.0,"水务","大鹏新区",17.0
2016.0,"水务","福田区",0.0
2017.0,"水务","福田区",0.0
2018.0,"水务","福田区",0.0
2019.0,"水务","福田区",18.0
2016.0,"水务","光明区",0.0
2017.0,"水务","光明区",0.0
2018.0,"水务","光明区",0.0
2019.0,"水务","光明区",37.0
2016.0,"水务","龙岗区",0.0
2017.0,"水务","龙岗区",0.0
2018.0,"水务","龙岗区",0.0
2019.0,"水务","龙岗区",50.0
2016.0,"水务","龙华区",0.0
2017.0,"水务","龙华区",0.0
2018.0,"水务","龙华区",0.0
2019.0,"水务","龙华区",20.0
2016.0,"水务","罗湖区",0.0
2017.0,"水务","罗湖区",0.0
2018.0,"水务","罗湖区",0.0
2019.0,"水务","罗湖区",20.0
2016.0,"水务","南山区",0.0
2017.0,"水务","南山区",0.0
2018.0,"水务","南山区",0.0
2019.0,"水务","南山区",14.0
2016.0,"水务","坪山区",0.0
2017.0,"水务","坪山区",0.0
2018.0,"水务","坪山区",0.0
2019.0,"水务","坪山区",45.0
2016.0,"水务","盐田区",0.0
2017.0,"水务","盐田区",0.0
2018.0,"水务","盐田区",0.0
2019.0,"水务","盐田区",13.0
2016.0,"司法","宝安区",0.0
2017.0,"司法","宝安区",0.0
2018.0,"司法","宝安区",0.0
2019.0,"司法","宝安区",23.0
