"YEAR","SUB_QUYU","SUM(*)"
2016.0,"光明区",0.0
2016.0,"南山区",0.0
2016.0,"坪山区",0.0
2016.0,"大鹏新区",0.0
2016.0,"宝安区",0.0
2016.0,"盐田区",0.0
2016.0,"福田区",0.0
2016.0,"罗湖区",0.0
2016.0,"龙华区",0.0
2016.0,"龙岗区",0.0
2017.0,"光明区",0.0
2017.0,"南山区",0.0
2017.0,"坪山区",0.0
2017.0,"大鹏新区",0.0
2017.0,"宝安区",0.0
2017.0,"盐田区",0.0
2017.0,"福田区",0.0
2017.0,"罗湖区",0.0
2017.0,"龙华区",0.0
2017.0,"龙岗区",0.0
2018.0,"光明区",0.0
2018.0,"南山区",0.0
2018.0,"坪山区",0.0
2018.0,"大鹏新区",0.0
2018.0,"宝安区",0.0
2018.0,"盐田区",0.0
2018.0,"福田区",0.0
2018.0,"罗湖区",0.0
2018.0,"龙华区",0.0
2018.0,"龙岗区",0.0
2019.0,"光明区",596.0
2019.0,"南山区",1084.0
2019.0,"坪山区",756.0
2019.0,"大鹏新区",705.0
2019.0,"宝安区",1810.0
2019.0,"盐田区",511.0
2019.0,"福田区",1007.0
2019.0,"罗湖区",1044.0
2019.0,"龙华区",833.0
2019.0,"龙岗区",1717.0
